Município1;UF1;Data;Índice De Isolamento
SANTANA DE PARNAÍBA;SP;20/05/2020;52%
SANTO ANDRÉ;SP;20/05/2020;48%
SANTOS;SP;20/05/2020;46%
SÃO BERNARDO DO CAMPO;SP;20/05/2020;47%
SÃO CAETANO DO SUL;SP;20/05/2020;46%
SÃO CARLOS;SP;20/05/2020;48%
SÃO JOÃO DA BOA VISTA;SP;20/05/2020;49%
SÃO JOSÉ DO RIO PRETO;SP;20/05/2020;44%
SÃO JOSÉ DOS CAMPOS;SP;20/05/2020;49%
SÃO PAULO;SP;20/05/2020;51%
SÃO ROQUE;SP;20/05/2020;48%
SÃO SEBASTIÃO;SP;20/05/2020;62%
